id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
1106,1454,StrongHands,SHND,stronghands,1,2015-10-30T18:05:00.000Z,2024-02-05T20:45:00.000Z,
1107,1567,PAC Protocol,PAC,pac-protocol,1,2015-11-02T21:55:00.000Z,2024-02-05T20:45:00.000Z,
1120,7558,DraftCoin,DFT,draftcoin,1,2015-11-23T19:55:00.000Z,2024-02-05T20:50:00.000Z,
1135,5644,ClubCoin,CLUB,clubcoin,1,2015-12-21T17:45:00.000Z,2024-02-05T20:45:00.000Z,
1136,7559,Adzcoin,ADZ,adzcoin,1,2015-12-26T00:35:00.000Z,2024-02-05T20:50:00.000Z,
1146,7560,AvatarCoin,AV,avatarcoin,1,2016-01-05T18:30:00.000Z,2024-02-05T20:50:00.000Z,
1154,968,Validity,VAL,validity,1,2016-01-18T07:50:00.000Z,2024-02-05T20:50:00.000Z,
1155,7561,Litecred,LTCR,litecred,1,2016-01-21T15:55:00.000Z,2024-02-05T20:50:00.000Z,
1156,6623,Yocoin,YOC,yocoin,1,2016-01-21T17:00:00.000Z,2024-02-05T20:50:00.000Z,
1159,7562,SaluS,SLS,salus,1,2016-01-22T17:35:00.000Z,2024-02-05T20:45:00.000Z,
1164,7563,Francs,FRN,francs,1,2016-01-31T08:40:00.000Z,2024-02-05T20:45:00.000Z,
1165,7564,Evil Coin,EVIL,evil-coin,1,2016-01-31T08:40:00.000Z,2024-02-05T20:50:00.000Z,
1168,177,Decred,DCR,decred,1,2016-02-10T19:55:00.000Z,2024-02-05T20:50:00.000Z,
1169,706,PIVX,PIVX,pivx,1,2016-02-13T21:10:00.000Z,2024-02-05T20:50:00.000Z,
1175,7565,Rubies,RBIES,rubies,1,2016-02-22T19:10:00.000Z,2024-02-05T20:45:00.000Z,
1185,2086,FreedomCoin,FREED,freedomcoin-freed,1,2016-03-01T05:55:00.000Z,2024-02-05T20:45:00.000Z,
1191,2663,Memetic / PepeCoin,MEME,memetic,1,2016-03-14T07:30:00.000Z,2024-02-05T20:50:00.000Z,
1194,7566,Independent Money System,IMS,independent-money-system,1,2016-03-18T23:05:00.000Z,2024-02-05T20:50:00.000Z,
1200,2075,NevaCoin,NEVA,nevacoin,1,2016-03-22T20:00:00.000Z,2024-02-05T20:45:00.000Z,
1209,7567,PosEx,PEX,posex,1,2016-04-04T22:20:00.000Z,2024-02-05T20:50:00.000Z,
